                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.1087,                0.63849,                  1.153,                0.92802,                0.89149,                 0.9447,                0.69009,                 1.0932,                0.55141,                 1.1878,               0.000948,               0.000948,               0.000948
                     53,                 1.1155,                0.62928,                  1.151,                0.91265,                0.86862,                0.93719,                0.66756,                 1.1551,                 0.5742,                 1.2294,             0.00093857,             0.00093857,             0.00093857
                     54,                 1.1188,                 0.6349,                 1.1609,                0.91013,                0.89902,                0.94846,                0.69162,                 1.0785,                 0.5589,                 1.1792,             0.00092914,             0.00092914,             0.00092914
                     55,                 1.0946,                0.62337,                 1.1583,                0.91271,                0.91106,                0.95263,                0.69613,                 1.0697,                 0.5474,                  1.173,              0.0009197,              0.0009197,              0.0009197
                     56,                 1.1006,                0.62811,                 1.1425,                0.92806,                0.91221,                0.96369,                0.70049,                 1.0932,                0.53917,                 1.1957,             0.00091027,             0.00091027,             0.00091027
                     57,                 1.1027,                0.63456,                  1.154,                0.90643,                0.87801,                  0.946,                0.69896,                 1.0776,                 0.5562,                 1.1794,             0.00090084,             0.00090084,             0.00090084
                     58,                 1.0945,                0.62701,                 1.1517,                0.90292,                0.90448,                0.95125,                0.68664,                 1.0994,                0.55148,                 1.2012,             0.00089141,             0.00089141,             0.00089141
                     59,                 1.0858,                0.62479,                 1.1553,                0.90869,                0.90804,                0.95814,                0.70388,                 1.0807,                0.54378,                 1.1844,             0.00088198,             0.00088198,             0.00088198
                     60,                 1.0792,                0.61928,                 1.1384,                0.90492,                0.89575,                0.94222,                0.69368,                  1.062,                0.56941,                 1.1742,             0.00087255,             0.00087255,             0.00087255
                     61,                 1.0588,                0.60634,                 1.1306,                0.92008,                0.90197,                 0.9539,                0.69777,                 1.0757,                0.54276,                 1.1845,             0.00086312,             0.00086312,             0.00086312
                     62,                  1.074,                0.62787,                 1.1395,                0.88331,                0.91821,                0.95548,                 0.6986,                 1.0871,                0.53982,                 1.1865,             0.00085368,             0.00085368,             0.00085368
                     63,                 1.0584,                0.59689,                 1.1356,                0.88238,                0.93325,                0.95314,                0.71021,                 1.0492,                 0.5254,                 1.1655,             0.00084425,             0.00084425,             0.00084425
                     64,                 1.0702,                0.60796,                 1.1369,                 0.9229,                0.90639,                0.95993,                0.70643,                 1.0616,                0.53298,                 1.1673,             0.00083482,             0.00083482,             0.00083482
                     65,                  1.064,                0.60171,                  1.134,                0.93484,                0.89169,                0.95591,                0.70855,                 1.0393,                0.51958,                 1.1642,             0.00082539,             0.00082539,             0.00082539
                     66,                 1.0541,                0.58043,                 1.1182,                0.91416,                0.92454,                0.96149,                 0.7097,                  1.053,                 0.5108,                  1.172,             0.00081596,             0.00081596,             0.00081596
                     67,                 1.0453,                0.59703,                 1.1183,                0.91843,                0.91535,                0.95889,                0.70429,                 1.0886,                0.51769,                 1.1956,             0.00080653,             0.00080653,             0.00080653
                     68,                 1.0561,                0.59419,                 1.1252,                0.94431,                0.90118,                0.95157,                  0.714,                 1.0357,                0.52508,                 1.1563,              0.0007971,              0.0007971,              0.0007971
                     69,                  1.034,                0.57009,                 1.1265,                0.91051,                0.91077,                0.96114,                0.71461,                 1.0512,                0.51881,                 1.1643,             0.00078766,             0.00078766,             0.00078766
                     70,                 1.0373,                0.57807,                 1.1183,                  0.913,                 0.8905,                0.94541,                0.69265,                 1.0735,                0.53456,                 1.1876,             0.00077823,             0.00077823,             0.00077823
                     71,                 1.0478,                0.59313,                 1.1263,                0.92968,                0.91497,                0.96156,                0.71405,                 1.0353,                0.51027,                 1.1596,              0.0007688,              0.0007688,              0.0007688
                     72,                  1.033,                0.56406,                 1.1191,                0.93624,                0.92837,                0.96715,                0.72507,                 1.0223,                0.50147,                 1.1547,             0.00075937,             0.00075937,             0.00075937
                     73,                 1.0438,                0.57542,                 1.1248,                0.92725,                0.90272,                0.95954,                0.70695,                 1.0534,                 0.5207,                 1.1739,             0.00074994,             0.00074994,             0.00074994
                     74,                  1.029,                0.56034,                 1.1163,                0.94539,                0.90745,                0.95864,                0.71547,                 1.0285,                0.50659,                 1.1553,             0.00074051,             0.00074051,             0.00074051
                     75,                 1.0176,                0.56283,                 1.1088,                0.93479,                0.93194,                0.95992,                0.71986,                 1.0222,                0.49283,                  1.152,             0.00073108,             0.00073108,             0.00073108
                     76,                 1.0022,                0.55728,                 1.0986,                0.94225,                  0.921,                0.97203,                0.73376,                 1.0117,                0.48646,                 1.1459,             0.00072164,             0.00072164,             0.00072164
                     77,                 1.0218,                0.55975,                 1.1143,                0.93081,                0.91447,                0.96382,                0.71772,                 1.0254,                0.50873,                 1.1534,             0.00071221,             0.00071221,             0.00071221
                     78,                 1.0031,                0.55885,                 1.1046,                0.93042,                0.92257,                 0.9637,                0.72531,                 1.0141,                 0.5105,                 1.1515,             0.00070278,             0.00070278,             0.00070278
                     79,                 1.0124,                 0.5588,                 1.1109,                0.94211,                0.91798,                0.96008,                0.71673,                 1.0202,                0.50245,                 1.1499,             0.00069335,             0.00069335,             0.00069335
                     80,                 1.0098,                0.55324,                 1.1034,                0.92603,                0.92198,                 0.9637,                0.71597,                 1.0296,                0.50509,                 1.1594,             0.00068392,             0.00068392,             0.00068392
                     81,                 1.0094,                 0.5497,                 1.1085,                0.92333,                0.92957,                0.96316,                0.73146,                 1.0043,                0.49906,                 1.1402,             0.00067449,             0.00067449,             0.00067449
                     82,                0.99852,                0.54838,                 1.0963,                0.94203,                0.91397,                0.96417,                0.72638,                 1.0001,                0.48764,                 1.1375,             0.00066506,             0.00066506,             0.00066506
                     83,                0.99321,                0.54195,                 1.1047,                0.94327,                0.91393,                0.96335,                0.71797,                 1.0239,                0.50293,                 1.1542,             0.00065563,             0.00065563,             0.00065563
                     84,                 1.0096,                0.54709,                 1.1075,                0.93529,                0.91342,                0.96486,                0.72734,                 1.0244,                  0.491,                  1.152,             0.00064619,             0.00064619,             0.00064619
