                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.1074,                0.54793,                 1.1669,                0.93953,                0.97376,                0.98553,                0.74482,                 1.0891,                   0.46,                 1.1901,              0.0011059,              0.0011059,              0.0011059
                     53,                 1.1078,                0.54925,                 1.1666,                 0.9599,                0.96265,                 0.9838,                0.74791,                  1.088,                0.45841,                  1.178,              0.0010949,              0.0010949,              0.0010949
                     54,                 1.1083,                0.56227,                 1.1719,                0.95401,                0.97345,                0.98726,                0.75411,                 1.0757,                0.46555,                 1.1793,              0.0010839,              0.0010839,              0.0010839
                     55,                 1.1179,                0.55724,                 1.1764,                 0.9773,                0.96292,                0.98315,                0.74754,                 1.0854,                0.45824,                  1.175,              0.0010729,              0.0010729,              0.0010729
                     56,                 1.1039,                0.55089,                  1.165,                0.95451,                 0.9657,                0.98487,                0.75378,                 1.0632,                 0.4565,                 1.1686,              0.0010619,              0.0010619,              0.0010619
                     57,                 1.1047,                0.54875,                 1.1674,                0.95697,                0.96867,                0.98447,                 0.7565,                 1.0469,                0.46015,                 1.1676,              0.0010509,              0.0010509,              0.0010509
                     58,                 1.0972,                0.54972,                 1.1636,                0.97073,                0.96238,                0.98838,                0.75987,                 1.0544,                0.44954,                 1.1671,              0.0010399,              0.0010399,              0.0010399
                     59,                 1.0948,                0.54119,                 1.1655,                0.97116,                0.97324,                0.98732,                0.74808,                  1.095,                0.46008,                 1.1961,              0.0010289,              0.0010289,              0.0010289
                     60,                   1.09,                0.53604,                 1.1628,                0.96935,                0.96079,                0.98775,                0.75259,                 1.0651,                0.46127,                 1.1726,              0.0010179,              0.0010179,              0.0010179
                     61,                 1.0934,                0.54487,                 1.1631,                0.95759,                0.97207,                0.98595,                0.75547,                 1.0481,                0.44885,                 1.1648,              0.0010069,              0.0010069,              0.0010069
                     62,                 1.0927,                0.54332,                 1.1657,                0.97025,                0.95145,                 0.9865,                 0.7524,                 1.0893,                0.46319,                 1.1937,             0.00099587,             0.00099587,             0.00099587
                     63,                 1.0706,                0.53763,                 1.1502,                0.95504,                0.96905,                  0.986,                0.75607,                 1.0537,                0.45565,                 1.1688,             0.00098486,             0.00098486,             0.00098486
                     64,                 1.0756,                0.54268,                 1.1596,                 0.9664,                0.96068,                0.98546,                0.76406,                 1.0443,                0.45436,                 1.1622,             0.00097386,             0.00097386,             0.00097386
                     65,                 1.0747,                0.52718,                 1.1585,                0.97406,                 0.9679,                0.98861,                0.76043,                  1.083,                0.44286,                 1.1848,             0.00096286,             0.00096286,             0.00096286
                     66,                 1.0715,                0.52567,                 1.1367,                0.97015,                0.96586,                0.98655,                0.76076,                 1.0512,                  0.441,                 1.1671,             0.00095186,             0.00095186,             0.00095186
                     67,                 1.0762,                0.52157,                 1.1452,                0.95568,                0.97016,                0.98539,                0.74616,                 1.0801,                 0.4529,                 1.1812,             0.00094085,             0.00094085,             0.00094085
                     68,                 1.0558,                0.52214,                 1.1388,                0.96433,                0.96161,                0.98824,                0.76116,                 1.0463,                 0.4375,                 1.1648,             0.00092985,             0.00092985,             0.00092985
