                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 1.0538,                0.66342,                 1.0849,                0.90998,                0.92727,                0.95747,                0.63838,                 1.1337,                0.76737,                 1.1457,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.0309,                0.65118,                 1.1005,                0.89352,                0.89091,                0.94878,                0.63198,                 1.1762,                0.78287,                  1.188,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.0597,                0.65265,                 1.0963,                0.92689,                0.89091,                0.94155,                 0.6268,                 1.2163,                0.78118,                 1.2119,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.1053,                0.65457,                 1.1502,                0.88399,                 0.9699,                0.96634,                 0.6418,                 1.1666,                0.65843,                 1.1637,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.0681,                0.66818,                 1.1281,                0.88399,                 0.9699,                0.96634,                 0.6418,                 1.1666,                0.65843,                 1.1637,                0.00101,                0.00101,                0.00101
                     52,                 1.0273,                0.62178,                 1.0918,                0.88515,                      1,                0.96427,                0.62884,                 1.1903,                0.65398,                 1.2087,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.0421,                0.65153,                 1.0939,                0.86584,                      1,                0.97159,                0.65033,                 1.1689,                0.66308,                  1.196,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.0397,                0.63902,                 1.0938,                0.96259,                0.93571,                0.98415,                0.66086,                 1.1686,                0.63753,                 1.1911,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.0312,                0.63636,                 1.0852,                0.96259,                0.93571,                0.98415,                0.66086,                 1.1686,                0.63753,                 1.1911,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.0532,                0.69102,                 1.1103,                0.94079,                0.96364,                0.97909,                0.65252,                 1.1575,                 0.6392,                 1.1868,               0.000911,               0.000911,               0.000911
                     57,                  1.009,                0.64441,                 1.0879,                0.87671,                0.89091,                0.95553,                 0.6174,                 1.1973,                0.68625,                 1.2146,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.0366,                0.65507,                 1.1258,                0.84687,                0.90503,                0.95207,                0.61078,                 1.2093,                0.70218,                 1.2103,              0.0008714,              0.0008714,              0.0008714
